taxon	F3D001	F3D006	F3D142	F3D143	M1D001	M1D006	M1D142	M1D143
Actinomycetales	0	0	1	0	0	0	0	0
Bacillales	0	1	3	0	0	0	0	0
Bacteroidales	1712	4180	1912	1737	3826	8893	5563	7563
Betaproteobacteriales	0	0	1	0	0	0	0	0
Bifidobacteriales	0	0	24	7	0	0	19	82
Clostridiales	2554	1807	372	560	1621	3315	1359	280
Coriobacteriales	1	2	1	1	0	1	0	1
Deinococcales	0	0	2	1	0	0	0	0
Enterobacteriales	2	4	0	0	0	2	0	2
Erysipelotrichales	0	0	47	35	2	0	36	87
Lactobacillales	249	458	126	108	67	33	258	478
Mollicutes_RF39	91	65	7	10	4	14	0	1
Pseudomonadales	6	5	1	1	0	1	0	0
Saccharimonadales	25	15	3	3	1	3	0	0
Xanthomonadales	1	0	0	0	0	0	0	0
